timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1729319889.5244353,,,,,,,,,,,,,nan,263500370.0,nan,
1729319889.5254014,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.5266061,777.25275,777.25275,788.5348,794.9817,nan,nan,,,,,,,,,,
1729319889.5305080,791.3553,791.75824,787.326,799.81683,nan,nan,,,,,,,,,,
1729319889.5344100,805.8608,794.17584,794.57874,800.2198,nan,nan,,,,,,,,,,
1729319889.5359530,,,,,,,-0.36901855,0.037109375,0.9342041,,,,,,,
1729319889.5383122,803.44324,790.54944,796.1905,793.36993,nan,nan,,,,,,,,,,
1729319889.5400453,,,,,,,,,,,,,nan,263460880.0,nan,
1729319889.5422142,794.57874,785.7143,790.9524,784.10254,nan,nan,,,,,,,,,,
1729319889.5461161,780.4762,786.52014,792.1612,780.07324,nan,nan,,,,,,,,,,
1729319889.5500181,784.90845,790.9524,791.3553,783.69965,nan,nan,,,,,,,,,,
1729319889.5539200,798.20514,786.52014,788.93774,791.75824,nan,nan,,,,,,,,,,
1729319889.5544758,,,,,,,-0.37231445,0.032165527,0.93670654,,,,,,,
1729319889.5556555,,,,,,,,,,,,,nan,263483440.0,nan,
1729319889.5578222,792.96704,781.28204,788.5348,794.17584,nan,nan,,,,,,,,,,
1729319889.5604117,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.5617242,788.1319,785.7143,787.72894,792.96704,nan,nan,,,,,,,,,,
1729319889.5656261,778.0586,795.78754,785.7143,788.93774,nan,nan,,,,,,,,,,
1729319889.5695281,787.326,799.41394,781.685,787.326,nan,nan,,,,,,,,,,
1729319889.5712657,,,,,,,,,,,,,nan,263501170.0,nan,
1729319889.5729985,,,,,,,-0.3748169,0.036987305,0.9334717,,,,,,,
1729319889.5734301,807.8755,796.5934,778.46155,794.57874,nan,nan,,,,,,,,,,
1729319889.5773320,809.4872,791.75824,784.90845,801.8315,nan,nan,,,,,,,,,,
1729319889.5812342,798.20514,781.28204,799.011,802.6374,nan,nan,,,,,,,,,,
